the_geom,uid,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,commboard,nta,council,schooldist,policeprct,censtract,factype,the_geom_webmercator,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,proptype,latitude,longitude,xcoord,ycoord,datasource,facsubgrp
0101000020E610000053DD3CE4568052C070F9221C6E5D4440,4f76e49643d7073ae319dd30aca67945,HUDSON PARK LIBRARY,"66",LEROY STREET,66 LEROY STREET,NEW YORK,"10014",Manhattan,"1","1009760","1005820018","102",MN23,"03","006","02","006700",PUBLIC LIBRARY,0101000020110F0000C121792C266D5FC19ACB61A50AF85241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7299227877401","-74.0053034395581","982780.117921355","205207.166309997",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000A5AE6F42697D52C01CE6209FE8614440,36c926209bd3ca4dc2be8a91a1e90231,67TH STREET LIBRARY,"328",EAST 67 STREET,328 EAST 67 STREET,NEW YORK,"10065",Manhattan,"1","1044749","1014410038","108",MN31,"05","019","02","011800",PUBLIC LIBRARY,0101000020110F0000387B28D92C685FC196590FF10FFD5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7649115477218","-73.9595495310446","995455.218391313","217957.236871459",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000162ACC9BD47B52C086A5DB4EC9664440,a392823e32a964699782d166770fcb64,125TH STREET LIBRARY,"224",EAST 125 STREET,224 EAST 125 STREET,NEW YORK,"10035",Manhattan,"1","1054674","1017890037","111",MN34,"08","025","05","024200",PUBLIC LIBRARY,0101000020110F000092B708827D655FC179A4D98C88025341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.8030184338086","-73.9348515981477","1002286.48688097","231844.993367112",nypl_libraries,PUBLIC LIBRARIES
0101000020E610000082548A1D8D7E52C0B0C8AF1F62614440,06177324d29c85303f43a35eedfd7aa5,53RD STREET LIBRARY,"18",WEST 53 STREET,18 WEST 53 STREET,NEW YORK,"10103",Manhattan,"1","1089376","1012687503","105",MN17,"04","018","02","010400",PUBLIC LIBRARY,0101000020110F000075E947981C6A5FC1912CC42079FC5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.760807","-73.977363","990521.080991395","216460.03824249",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000E508361B097E52C098F32C0996614440,9acaec528c11bace4012cdbce3e29d0d,58TH STREET LIBRARY,"127",EAST 58 STREET,127 EAST 58 STREET,NEW YORK,"10022",Manhattan,"1","1037165","1013130005","105",MN19,"04","018","02","011203",PUBLIC LIBRARY,0101000020110F00007142365D3C695FC189441C56B3FC5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7623912305345","-73.9693058040317","992752.946892977","217037.904865591",nypl_libraries,PUBLIC LIBRARIES
0101000020E61000002FDF546DEA7C52C02EFCB8429A644440,146c55587ccf531b1fb8aec008f0d8c9,96TH STREET LIBRARY,"112",EAST 96 STREET,112 EAST 96 STREET,NEW YORK,"10128",Manhattan,"1","1048501","1015240064","108",MN40,"04","019","02","015801",PUBLIC LIBRARY,0101000020110F00005FCE1D6955675FC17729FA6215005341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7859576609847","-73.9518082932307","997595.40653219","225626.126537834",nypl_libraries,PUBLIC LIBRARIES
0101000020E610000050B4AEB2617C52C0311598BDA7654440,7f46ce80c3a48c652f0498443728c13b,AGUILAR LIBRARY,"174",EAST 110 STREET,174 EAST 110 STREET,NEW YORK,"10029",Manhattan,"1","1052167","1016370141","111",MN33,"08","023","04","017200",PUBLIC LIBRARY,0101000020110F0000133D98296D665FC169AD48AE43015341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7941815369217","-73.9434630113694","999904.475404853","228623.748289996",nypl_libraries,PUBLIC LIBRARIES
0101000020E610000085419946937F52C082FFAD64C75E4440,5a853ec0e689e0a9c22f9659771300b6,ANDREW HEISKELL BRAILLE AND TALKING BOOK LIBRARY,"40",WEST 20 STREET,40 WEST 20 STREET,NEW YORK,"10011",Manhattan,"1","1076145","1008217501","105",MN13,"03","013","02","005400",PUBLIC LIBRARY,0101000020110F0000705D90E6D96B5FC13FAE86A78DF95241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.74046","-73.993364","986088.918869028","209046.229322927",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000B3B3E89D0A8152C044C02154A95B4440,c001bc02856cd8f82ebc1dfedfecd009,BATTERY PARK CITY LIBRARY,"175",NORTH END AVENUE,175 NORTH END AVENUE,NEW YORK,"10282",Manhattan,"1","1087518","1000167516","101",MN25,"01","001","02","031703",PUBLIC LIBRARY,0101000020110F0000BC978774576E5FC1EB38053E0FF65241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.716105","-74.016273","979738.899130483","200173.294544935",nypl_libraries,PUBLIC LIBRARIES
0101000020E61000002A32B351EE7D52C02FC6C688E0654440,157388900eff4d6432752ae99849eba5,BLOOMINGDALE LIBRARY,"150",WEST 100 STREET,150 WEST 100 STREET,NEW YORK,"10025",Manhattan,"1","1055906","1018520049","107",MN12,"07","024","03","018500",PUBLIC LIBRARY,0101000020110F0000E80F0ADD0E695FC148F01A6583015341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7959147425248","-73.9676708459816","993201.357442903","229251.815168078",nypl_libraries,PUBLIC LIBRARIES
